01000001010000010000000000000110	256	ADDI R10, R1, #6
00100000001000000000000000000000	260	ADD R1, R0, R0
01000000010011000000000000000010	264	ADDI R2, R12, #2
00000101010000100000000000001010	268	BEQ R10, R2, #40
00010100000000010000000101110000	272	LW R1, 368(R0)
01000100011000010000000101001011	276	ANDI R3, R1, #331
01001000100000010000000101001010	280	ORI R4, R1, #330
01000000101001000000000000001100	284	ADDI R5, R4, #12
01100000011001000000000000000000	288	MULT R3, R4
01100100001001010000000000000000	292	DIV R1, R5
10000100110000000000000000000000	296	MFLO R6
10000000111000000000000000000000	300	MFHI R7
01000000010000100000000000000010	304	ADDI R2, R2, #2
01000001101011010000000000001100	308	ADDI R13, R13, #12
01000001101011010000000000001100	312	ADDI R13, R13, #12
01000001101011010000000000001100	316	ADDI R13, R13, #12
01000001101011010000000000001100	320	ADDI R13, R13, #12
01000001101011010000000000001100	324	ADDI R13, R13, #12
01000001101011010000000000001100	328	ADDI R13, R13, #12
01000001101011010000000000001100	332	ADDI R13, R13, #12
01000001101011010000000000001100	336	ADDI R13, R13, #12
01000001101011010000000000001100	340	ADDI R13, R13, #12
01000001101011010000000000001100	344	ADDI R13, R13, #12
01000001101011010000000000001100	348	ADDI R13, R13, #12
01000001101011010000000000001100	352	ADDI R13, R13, #12
00011000000000000000000000000000	356	BREAK
00000000000000000000000000001010	360	10
00000000000000000000000000000111	364	7
00000000000000000000000000000011	368	3
11111111111111111111111111110110	372	-10
00000000000000000000000000000010	376	2
00000000000000000000000000000000	380	0
00000000000000000000000000000000	384	0
00000000000000000000000000000000	388	0
00000000000000000000000000000111	392	7
00000000000000000000000000001001	396	9
00000000000000000000000000000001	400	1
00000000000000000000000000000000	404	0
11111111111111111111111111111111	408	-1
00000000000000000000000000000001	412	1
11111111111111111111111111111111	416	-1
00000000000000000000000000000000	420	0
